,url_length,content_length,mal,charsets,server,special_chars
576,36,-1,1,-1,-1,2
577,48,-1,1,-1,-1,8
578,50,-1,0,-1,-1,8
579,53,-1,0,-1,-1,8
580,31,-1,0,-1,-1,4
581,54,-1,0,-1,-1,7
582,25,-1,0,-1,-1,4
583,41,-1,0,-1,-1,7
584,76,-1,1,-1,-1,11
585,43,-1,1,-1,-1,9
586,61,-1,0,-1,-1,10
587,31,-1,0,-1,-1,4
588,69,-1,1,-1,-1,12
589,96,-1,1,-1,-1,19
590,63,-1,0,-1,-1,14
591,77,-1,0,-1,-1,9
592,39,-1,0,-1,-1,4
593,17,-1,0,-1,-1,2
594,24,-1,0,-1,-1,4
595,38,-1,0,-1,-1,4
596,111,,0,['utf-8'],Apache,17
597,25,-1,0,-1,-1,2
598,67,-1,0,-1,-1,11
599,25,-1,1,-1,-1,6
600,59,-1,0,-1,-1,10
601,35,-1,0,-1,-1,5
602,45,-1,1,-1,-1,10
603,51,-1,0,-1,-1,7
604,39,-1,0,-1,-1,4
605,70,-1,0,-1,-1,10
606,39,-1,0,-1,-1,5
607,36,-1,0,-1,-1,5
608,87,-1,0,-1,-1,14
609,27,-1,0,-1,-1,5
610,45,-1,0,-1,-1,5
611,17,-1,0,-1,-1,2
612,86,117813,0,['shift_jis'],,16
613,120,-1,0,-1,-1,21
614,93,,1,['utf-8'],Apache,17
615,33,-1,0,-1,-1,5
616,46,-1,0,-1,-1,6
617,91,-1,0,-1,-1,15
618,68,-1,0,-1,-1,14
619,44,-1,0,-1,-1,8
620,151,-1,0,-1,-1,25
621,21,-1,0,-1,-1,3
622,69,-1,1,-1,-1,14
623,25,-1,0,-1,-1,3
624,126,-1,1,-1,-1,21
625,34,-1,1,-1,-1,7
626,56,-1,0,-1,-1,7
627,32,-1,1,-1,-1,8
628,135,-1,0,-1,-1,23
629,35,-1,0,-1,-1,5
630,57,-1,0,-1,-1,8
631,43,-1,0,-1,-1,4
632,36,-1,0,-1,-1,5
633,64,,1,['utf-8'],nginx,13
634,68,-1,0,-1,-1,11
635,62,-1,0,-1,-1,8
636,35,-1,0,-1,-1,4
637,30,-1,0,-1,-1,5
638,93,-1,0,-1,-1,20
639,38,-1,0,-1,-1,4
640,27,-1,0,-1,-1,3
641,156,-1,1,-1,-1,29
642,74,-1,0,-1,-1,10
643,16,-1,0,-1,-1,2
644,67,-1,0,-1,-1,7
645,146,-1,0,-1,-1,19
646,46,-1,1,-1,-1,10
647,33,-1,0,-1,-1,5
648,87,-1,1,-1,-1,17
649,35,-1,0,-1,-1,4
650,39,-1,0,-1,-1,7
651,49,-1,0,-1,-1,8
652,12,-1,0,-1,-1,2
653,74,-1,0,-1,-1,12
654,57,-1,1,-1,-1,13
655,32,-1,1,-1,-1,7
656,43,-1,1,-1,-1,9
657,112,-1,0,-1,-1,18
658,35,-1,0,-1,-1,5
659,27,-1,0,-1,-1,4
660,63,-1,1,-1,-1,11
661,25,-1,1,-1,-1,6
662,165,-1,0,-1,-1,26
663,131,-1,1,-1,-1,24
664,67,-1,0,-1,-1,11
665,81,-1,1,-1,-1,15
666,22,-1,0,-1,-1,3
667,36,-1,0,-1,-1,4
668,25,-1,1,-1,-1,1
669,103,,1,['utf-8'],nginx/1.14.0 (Ubuntu),17
670,44,-1,0,-1,-1,5
671,36,-1,0,-1,-1,5
672,42,-1,0,-1,-1,4
673,87,-1,0,-1,-1,14
674,19,-1,1,-1,-1,2
675,119,,1,['utf-8'],nginx,15
676,40,-1,0,-1,-1,7
677,58,-1,0,-1,-1,6
678,13,-1,0,-1,-1,2
679,58,-1,1,-1,-1,12
680,131,-1,1,-1,-1,16
681,94,-1,0,-1,-1,30
682,220,-1,1,-1,-1,16
683,44,-1,0,-1,-1,7
684,68,-1,0,-1,-1,11
685,45,-1,0,-1,-1,7
686,31,-1,0,-1,-1,4
687,64,-1,0,-1,-1,8
688,179,-1,1,-1,-1,28
689,60,-1,0,-1,-1,10
690,101,-1,0,-1,-1,27
691,31,-1,0,-1,-1,4
692,23,-1,1,-1,-1,1
693,18,-1,0,-1,-1,3
694,64,-1,0,-1,-1,9
695,58,-1,0,-1,-1,7
696,116,-1,0,-1,-1,20
697,48,-1,1,-1,-1,9
698,112,-1,0,-1,-1,21
699,110,-1,1,-1,-1,15
700,42,-1,0,-1,-1,6
701,58,-1,0,-1,-1,9
702,27,-1,0,-1,-1,3
703,91,,1,['utf-8'],Apache/2.4.6,12
704,32,-1,0,-1,-1,4
705,45,-1,0,-1,-1,8
706,22,-1,0,-1,-1,2
707,102,-1,1,-1,-1,17
708,73,-1,1,-1,-1,11
709,16,-1,0,-1,-1,2
710,26,-1,0,-1,-1,4
711,75,-1,0,-1,-1,12
712,24,-1,0,-1,-1,4
713,23,-1,0,-1,-1,3
714,104,-1,1,-1,-1,23
715,20,-1,1,-1,-1,2
716,32,-1,0,-1,-1,4
717,72,,1,['utf-8'],nginx,17
718,65,-1,0,-1,-1,9
719,32,-1,0,-1,-1,4
720,24,-1,0,-1,-1,4
721,45,-1,1,-1,-1,9
722,70,-1,1,-1,-1,14
723,104,-1,0,-1,-1,15
724,71,-1,0,-1,-1,11
725,47,-1,1,-1,-1,6
726,38,-1,0,-1,-1,6
727,25,-1,0,-1,-1,4
728,127,-1,1,-1,-1,20
729,67,-1,0,-1,-1,8
730,18,-1,1,-1,-1,1
731,58,-1,0,-1,-1,9
732,19,-1,0,-1,-1,2
733,41,-1,0,-1,-1,6
734,87,-1,1,-1,-1,15
735,78,-1,0,-1,-1,10
736,43,-1,0,-1,-1,5
737,38,-1,0,-1,-1,6
738,64,-1,1,-1,-1,11
739,35,-1,0,-1,-1,4
740,108,-1,1,-1,-1,16
741,28,-1,0,-1,-1,4
742,16,-1,1,-1,-1,1
743,51,-1,0,-1,-1,8
744,12,-1,1,-1,-1,2
745,27,-1,0,-1,-1,3
746,17,-1,0,-1,-1,2
747,38,-1,0,-1,-1,3
748,25,-1,0,-1,-1,5
749,119,-1,0,-1,-1,21
750,54,-1,0,-1,-1,8
751,98,-1,0,-1,-1,14
752,87,-1,0,-1,-1,16
753,19,-1,0,-1,-1,3
754,87,-1,0,-1,-1,13
755,65,-1,0,-1,-1,7
756,23,-1,0,-1,-1,2
757,36,-1,0,-1,-1,5
758,31,-1,0,-1,-1,4
759,52,-1,0,-1,-1,9
760,104,-1,0,-1,-1,15
761,45,-1,0,-1,-1,4
762,57,-1,0,-1,-1,9
763,90,-1,0,-1,-1,15
764,26,-1,0,-1,-1,2
765,42,-1,0,-1,-1,5
766,39,-1,1,-1,-1,2
767,53,-1,0,-1,-1,6
768,35,-1,1,-1,-1,6
769,75,-1,0,-1,-1,12
770,43,-1,0,-1,-1,5
771,60,-1,0,-1,-1,8
772,108,200518,0,['utf-8'],nginx,19
773,71,-1,0,-1,-1,8
774,24,-1,1,-1,-1,2
775,56,-1,0,-1,-1,7
776,59,-1,0,-1,-1,8
777,79,-1,0,-1,-1,13
778,86,-1,1,-1,-1,14
779,41,-1,0,-1,-1,7
780,15,-1,1,-1,-1,1
781,39,-1,0,-1,-1,5
782,99,-1,1,['utf-8'],-1,33
783,15,-1,0,-1,-1,2
784,25,-1,0,-1,-1,5
785,29,-1,0,-1,-1,3
786,34,-1,0,-1,-1,5
787,89,-1,0,-1,-1,15
788,60,-1,0,-1,-1,10
789,64,-1,0,-1,-1,9
790,139,-1,1,-1,-1,25
791,70,-1,1,-1,-1,11
792,95,-1,0,-1,-1,13
793,23,-1,1,-1,-1,2
794,68,-1,1,-1,-1,14
795,37,,1,['utf-8'],GSE,6
796,25,-1,0,-1,-1,3
797,41,-1,0,-1,-1,6
798,30,-1,0,-1,-1,3
799,20,-1,0,-1,-1,4
800,15,-1,0,-1,-1,2
801,35,-1,0,-1,-1,5
802,25,-1,0,-1,-1,4
