,url_length,mal,special_chars
999,79,1,12
1000,17,0,2
1001,44,0,6
1002,99,1,18
1003,24,0,4
1004,71,0,9
1005,43,0,6
1006,42,0,6
1007,42,1,9
1008,51,1,9
1009,30,0,6
1010,44,1,11
1011,59,0,8
1012,22,0,2
1013,76,1,9
1014,26,0,5
1015,39,0,4
1016,79,0,9
1017,22,1,1
1018,117,0,18
1019,39,0,5
1020,37,0,6
1021,33,0,6
1022,84,0,10
1023,35,0,5
1024,64,1,11
1025,54,0,8
1026,25,0,2
1027,54,0,8
1028,13,0,2
1029,253,1,15
1030,33,1,7
1031,50,0,8
1032,17,0,2
1033,36,0,4
1034,26,0,4
1035,63,0,9
1036,92,0,15
1037,29,0,4
1038,53,0,7
1039,15,0,2
1040,21,0,4
1041,85,1,14
1042,22,1,2
1043,60,0,6
1044,51,0,9
1045,28,0,3
1046,57,1,7
1047,31,1,6
1048,49,0,5
1049,25,0,4
1050,12,0,2
1051,15,0,3
1052,48,0,8
1053,83,0,12
1054,30,0,3
1055,26,0,3
1056,14,0,2
1057,18,0,2
1058,16,0,3
1059,35,0,4
1060,44,0,5
1061,25,0,4
1062,72,0,11
1063,51,0,6
1064,31,0,4
1065,79,1,16
1066,19,0,3
1067,57,0,8
1068,83,0,16
1069,20,0,2
1070,100,0,17
1071,17,1,2
1072,27,0,4
1073,31,0,3
1074,54,0,10
1075,115,1,25
1076,106,0,18
1077,47,0,6
1078,17,0,2
1079,43,1,8
1080,28,0,3
1081,152,1,26
1082,39,0,7
1083,67,0,8
1084,30,0,3
1085,25,0,2
1086,120,1,21
1087,30,0,5
1088,39,0,6
1089,17,0,2
1090,17,1,1
1091,85,1,13
1092,24,0,4
1093,93,0,12
1094,59,1,11
1095,49,1,8
1096,38,0,5
1097,141,0,22
1098,27,0,4
1099,53,0,4
1100,22,0,2
1101,116,1,22
1102,50,1,10
1103,20,0,3
1104,122,0,16
1105,19,0,2
1106,15,0,2
1107,37,1,7
1108,46,1,9
1109,72,0,13
1110,42,0,5
1111,76,0,14
1112,86,0,12
1113,68,1,15
1114,39,1,9
1115,44,0,7
1116,49,0,7
1117,119,0,21
1118,76,1,15
1119,153,1,28
1120,20,0,2
1121,11,1,1
1122,32,0,4
1123,47,0,6
1124,51,0,7
1125,35,0,5
1126,36,0,4
1127,51,1,12
1128,47,0,5
1129,26,0,4
1130,116,0,21
1131,88,0,27
1132,66,0,11
1133,31,0,4
1134,63,0,8
1135,38,0,5
1136,36,0,5
1137,17,0,2
1138,44,0,8
1139,63,1,14
1140,65,0,10
1141,83,0,10
1142,188,0,28
1143,31,0,4
1144,40,1,5
1145,86,0,15
1146,21,0,4
1147,103,0,19
1148,33,0,5
1149,43,0,3
1150,60,0,9
1151,31,0,4
1152,85,0,14
1153,67,0,7
1154,34,0,5
1155,84,1,16
1156,51,0,4
1157,148,1,15
1158,49,0,7
1159,82,1,20
1160,58,0,10
1161,80,0,12
1162,42,0,5
1163,31,0,5
1164,39,0,7
1165,99,0,20
1166,40,1,7
1167,81,1,27
1168,52,0,4
1169,61,0,10
1170,33,1,7
1171,32,0,2
1172,136,1,28
1173,38,0,5
1174,226,1,15
1175,45,0,6
1176,69,0,8
1177,21,0,4
1178,38,1,7
1179,120,1,21
1180,25,0,3
1181,27,0,5
1182,30,0,4
1183,13,0,2
1184,16,0,2
1185,55,0,9
1186,76,1,14
1187,116,0,18
1188,23,0,2
1189,70,1,11
1190,51,0,7
1191,38,0,6
1192,44,0,8
1193,35,0,3
1194,22,0,4
1195,90,1,30
1196,30,0,3
1197,108,1,18
1198,80,0,5
1199,28,0,4
1200,43,0,5
1201,40,0,5
1202,10,0,2
1203,39,1,9
1204,50,0,6
1205,35,0,5
1206,41,0,4
1207,74,0,10
1208,37,0,7
1209,34,0,5
1210,59,0,6
1211,87,0,15
1212,117,1,14
1213,48,1,9
1214,80,0,9
1215,76,1,15
1216,45,0,7
1217,98,0,17
1218,49,0,6
1219,31,0,4
1220,108,1,20
1221,42,0,5
1222,72,0,11
1223,14,0,2
1224,47,0,7
1225,111,0,16
1226,56,1,10
1227,21,0,3
1228,53,0,9
1229,48,0,8
1230,66,0,8
1231,46,0,6
1232,42,0,5
1233,34,0,3
1234,79,1,15
1235,35,0,6
1236,105,0,16
1237,54,0,10
1238,37,0,5
1239,25,0,2
1240,43,0,5
1241,39,0,5
1242,25,0,4
1243,81,0,12
1244,18,0,2
1245,63,0,8
1246,33,0,5
1247,67,1,13
1248,29,0,3
1249,35,0,4
1250,17,0,3
1251,70,1,9
1252,27,0,2
1253,14,1,1
1254,32,0,4
1255,35,0,5
1256,87,1,16
1257,96,0,15
1258,139,1,16
1259,35,0,5
1260,55,0,9
1261,94,0,21
1262,86,1,17
1263,55,0,9
1264,35,1,3
1265,31,0,3
1266,42,0,6
1267,91,0,15
1268,60,1,10
1269,158,0,49
1270,67,0,8
1271,62,0,12
1272,26,0,2
1273,26,0,5
1274,24,0,2
1275,138,0,20
1276,78,0,16
1277,12,0,2
1278,224,0,54
1279,26,0,4
1280,11,0,2
1281,22,1,1
1282,71,1,11
1283,50,0,9
1284,121,1,19
1285,34,0,4
1286,44,1,7
